--------------------Engine speed[rpm] =  1000.0  Load[%] =   1.0  Cylinder:  1  Cycle No. =  21--------------------
 Crank angle[deg.],      Time_[s],  Burnt mass_[kg],          BMF_[-],     AHRR_[J/deg.],     HRR_[J/deg.]
              21.0,    0.00350000,       0.00022004,       0.50993500,      23.47918949,      25.75715871
              22.0,    0.00366667,       0.00023090,       0.53509000,      22.58156671,      24.89611248
              23.0,    0.00383333,       0.00024133,       0.55926500,      21.58632728,      23.92619834
              24.0,    0.00400000,       0.00025131,       0.58239000,      20.53354990,      22.88700462
              25.0,    0.00416667,       0.00026082,       0.60443000,      19.45807806,      21.81317110
              26.0,    0.00433333,       0.00026985,       0.62535500,      18.35922355,      20.70964634
              27.0,    0.00450000,       0.00027841,       0.64520000,      17.30656133,      19.64076137
              28.0,    0.00466667,       0.00028654,       0.66403000,      16.32358760,      18.63620744
              29.0,    0.00483333,       0.00029422,       0.68183500,      15.33580066,      17.62175642
              30.0,    0.00500000,       0.00030147,       0.69864000,      14.38021300,      16.63204811
              31.0,    0.00516667,       0.00030826,       0.71437500,      13.35988010,      15.57306022
              32.0,    0.00533333,       0.00031459,       0.72905500,      12.35580350,      14.52891796
              33.0,    0.00550000,       0.00032053,       0.74281000,      11.48656572,      13.61343777
              34.0,    0.00566667,       0.00032607,       0.75566000,      10.63749932,      12.71775175
              35.0,    0.00583333,       0.00033123,       0.76760500,       9.79129841,      11.82206574
              36.0,    0.00600000,       0.00033603,       0.77872500,       9.02665372,      11.00555638
              37.0,    0.00616667,       0.00034052,       0.78914000,       8.38001323,      10.30781203
              38.0,    0.00633333,       0.00034471,       0.79884000,       7.72521599,       9.60017059
              39.0,    0.00650000,       0.00034860,       0.80785500,       7.10160727,       8.92222039
              40.0,    0.00666667,       0.00035222,       0.81624000,       6.52877459,       8.29870416
              41.0,    0.00683333,       0.00035558,       0.82403500,       5.99666842,       7.71477626
              42.0,    0.00700000,       0.00035874,       0.83136000,       5.58403949,       7.24961335
              43.0,    0.00716667,       0.00036171,       0.83825000,       5.20430875,       6.81909024
              44.0,    0.00733333,       0.00036449,       0.84468500,       4.80315887,       6.36877296
              45.0,    0.00750000,       0.00036703,       0.85058000,       4.31653656,       5.83433047
              46.0,    0.00766667,       0.00036938,       0.85601000,       3.84540919,       5.37411611
              47.0,    0.00783333,       0.00037163,       0.86124000,       3.64224840,       5.17617445
              48.0,    0.00800000,       0.00037377,       0.86619500,       3.38337483,       4.90400466
              49.0,    0.00816667,       0.00037578,       0.87085500,       3.10464809,       4.61204071
              50.0,    0.00833333,       0.00037763,       0.87514500,       2.76234293,       4.24584864
              51.0,    0.00850000,       0.00037931,       0.87903500,       2.39218322,       3.84996532
              52.0,    0.00866667,       0.00038090,       0.88272500,       2.21605942,       3.65202366
              53.0,    0.00883333,       0.00038242,       0.88623500,       2.06070275,       3.47387616
              54.0,    0.00900000,       0.00038391,       0.88970000,       2.03942838,       3.42933929
              55.0,    0.00916667,       0.00038531,       0.89293500,       1.84269289,       3.20170638
              56.0,    0.00933333,       0.00038659,       0.89589500,       1.60121019,       2.92953659
              57.0,    0.00950000,       0.00038782,       0.89875000,       1.51816834,       2.82561722
              58.0,    0.00966667,       0.00038897,       0.90140500,       1.35009136,       2.62767556
              59.0,    0.00983333,       0.00039005,       0.90392500,       1.24561321,       2.49406494
              60.0,    0.01000000,       0.00039109,       0.90632500,       1.15515482,       2.37529994
              61.0,    0.01016667,       0.00039202,       0.90849500,       0.94740839,       2.14766703
              62.0,    0.01033333,       0.00039292,       0.91057500,       0.87782772,       2.05859328
              63.0,    0.01050000,       0.00039384,       0.91270000,       0.94852806,       2.10313015
              64.0,    0.01066667,       0.00039466,       0.91460000,       0.74423871,       1.88044578
              65.0,    0.01083333,       0.00039534,       0.91618500,       0.45791902,       1.56868767
              66.0,    0.01100000,       0.00039599,       0.91768500,       0.39154275,       1.48456246
              67.0,    0.01116667,       0.00039669,       0.91931000,       0.53872915,       1.60827600
              68.0,    0.01133333,       0.00039740,       0.92096000,       0.57939779,       1.63301871
              69.0,    0.01150000,       0.00039805,       0.92245500,       0.44159851,       1.47961392
              70.0,    0.01166667,       0.00039870,       0.92397500,       0.48123761,       1.50435663
              71.0,    0.01183333,       0.00039937,       0.92551000,       0.51032210,       1.51920225
              72.0,    0.01200000,       0.00039995,       0.92685500,       0.34236400,       1.33115767
              73.0,    0.01216667,       0.00040050,       0.92813500,       0.29147278,       1.26682663
              74.0,    0.01233333,       0.00040102,       0.92934500,       0.23518458,       1.19754705
              75.0,    0.01250000,       0.00040152,       0.93051000,       0.20893504,       1.15301018
              76.0,    0.01266667,       0.00040198,       0.93156500,       0.10643383,       1.04414226
              77.0,    0.01283333,       0.00040217,       0.93200000,      -0.48870167,       0.43052311
              78.0,    0.01300000,       0.00040217,       0.93200000,      -0.90060575,       0.00000000
              79.0,    0.01316667,       0.00040217,       0.93200000,      -0.88815146,       0.00000000
              80.0,    0.01333333,       0.00040217,       0.93200000,      -0.87623106,       0.00000000
              81.0,    0.01350000,       0.00040217,       0.93200000,      -0.85948890,       0.00000000
              82.0,    0.01366667,       0.00040217,       0.93200000,      -0.84337751,       0.00000000
              83.0,    0.01383333,       0.00040217,       0.93200000,      -0.83304881,       0.00000000
              84.0,    0.01400000,       0.00040217,       0.93200000,      -0.82315965,       0.00000000
              85.0,    0.01416667,       0.00040217,       0.93200000,      -0.80862411,       0.00000000
              86.0,    0.01433333,       0.00040217,       0.93200000,      -0.79461947,       0.00000000
              87.0,    0.01450000,       0.00040217,       0.93200000,      -0.78112057,       0.00000000
              88.0,    0.01466667,       0.00040217,       0.93200000,      -0.77299791,       0.00000000
              89.0,    0.01483333,       0.00040217,       0.93200000,      -0.76523478,       0.00000000
              90.0,    0.01500000,       0.00040217,       0.93200000,      -0.75300690,       0.00000000
              91.0,    0.01516667,       0.00040217,       0.93200000,      -0.74120515,       0.00000000
              92.0,    0.01533333,       0.00040217,       0.93200000,      -0.73453918,       0.00000000
              93.0,    0.01550000,       0.00040217,       0.93200000,      -0.72348346,       0.00000000
              94.0,    0.01566667,       0.00040217,       0.93200000,      -0.71744656,       0.00000000
              95.0,    0.01583333,       0.00040217,       0.93200000,      -0.70708286,       0.00000000
              96.0,    0.01600000,       0.00040217,       0.93200000,      -0.69706618,       0.00000000
              97.0,    0.01616667,       0.00040217,       0.93200000,      -0.69192466,       0.00000000
              98.0,    0.01633333,       0.00040217,       0.93200000,      -0.68251450,       0.00000000
              99.0,    0.01650000,       0.00040217,       0.93200000,      -0.67789464,       0.00000000
             100.0,    0.01666667,       0.00040217,       0.93200000,      -0.66904599,       0.00000000
             101.0,    0.01683333,       0.00040217,       0.93200000,      -0.66048955,       0.00000000
             102.0,    0.01700000,       0.00040217,       0.93200000,      -0.65220661,       0.00000000
             103.0,    0.01716667,       0.00040217,       0.93200000,      -0.64418797,       0.00000000
             104.0,    0.01733333,       0.00040217,       0.93200000,      -0.64074035,       0.00000000
             105.0,    0.01750000,       0.00040217,       0.93200000,      -0.63318182,       0.00000000
             106.0,    0.01766667,       0.00040217,       0.93200000,      -0.63012914,       0.00000000
             107.0,    0.01783333,       0.00040217,       0.93200000,      -0.62299552,       0.00000000
             108.0,    0.01800000,       0.00040217,       0.93200000,      -0.61607978,       0.00000000
